timestamp,sensor_id,value,unit
2025-05-12T19:11:08.974876,temp1,14.923691002511315,°C
2025-05-12T19:11:08.974876,hum1,6.414695488249237,%
2025-05-12T19:11:08.974876,press1,1004.6132330510139,hPa
2025-05-12T19:11:08.974876,light1,0,lx
2025-05-12T19:11:09.975928,temp1,18.078408425323865,°C
2025-05-12T19:11:09.975928,hum1,10.369377780684893,%
2025-05-12T19:11:09.975928,press1,1004.1046058459393,hPa
2025-05-12T19:11:09.975928,light1,67.6088194902619,lx
2025-05-12T19:11:10.976485,temp1,21.899238272560375,°C
2025-05-12T19:11:10.976485,hum1,6.979914130556656,%
2025-05-12T19:11:10.976485,press1,1003.387034629039,hPa
2025-05-12T19:11:10.976485,light1,97.4965034559243,lx
2025-05-12T19:11:11.976878,temp1,26.631947504418214,°C
2025-05-12T19:11:11.976878,hum1,6.243275089832315,%
2025-05-12T19:11:11.976878,press1,1001.5449892546872,hPa
2025-05-12T19:11:11.976878,light1,309.47841712624324,lx
2025-05-12T19:11:12.977345,temp1,29.31514393941259,°C
2025-05-12T19:11:12.977345,hum1,6.018132999871055,%
2025-05-12T19:11:12.977345,press1,1003.1443418507125,hPa
2025-05-12T19:11:12.977345,light1,501.71696124090056,lx
